"caption","commentsCount","likesCount","hashtags.0","hashtags.1","hashtags.2","hashtags.3","hashtags.4","hashtags.5","hashtags.6","hashtags.7","hashtags.8","hashtags.9","hashtags.10","hashtags.11","ownerUsername","timestamp","type","kalenderwoche"
"Der Bundestag hat zwei Gesetze für besseren Schutz vor Missbrauch und sowie die bessere Versorgung von Gewaltopfern beschlossen. Das „Gewalthilfegesetz“ sichert Opfern geschlechtsspezifischer und häuslicher Gewalt ab 2030 einen Rechtsanspruch auf Schutz und Hilfe zu. Einbezogen werden außerdem Kinder, die solche Gewalttaten miterleben. 

Bis dahin soll das Hilfesystem mit mehr Frauenhäusern, Schutzwohnungen und Beratungsstellen ausgebaut werden. Zudem wird die Gewaltprävention gestärkt. Der Bund stellt dafür bis 2036 insgesamt 2,6 Milliarden Euro bereit. Der Bundesrat muss noch zustimmen. 

Auch das Antimissbrauchsgesetz (UBSKM-Gesetz) erhielt Zustimmung. Das Gesetz soll Kinder und Jugendliche besser vor sexualisierter Gewalt schützen. Es stärkt die Rechte Betroffener sowie die Rolle der Aufarbeitungskommission und der Missbrauchsbeauftragten der Bundesregierung. Jugendämter werden verpflichtet, Betroffenen Akteneinsicht zu gewähren. Zudem soll die Missbrauchsbeauftragte regelmäßig im Bundestag über das Ausmaß sexueller Gewalt gegen Kinder und Jugendliche sowie über Prävention, Unterstützung, Forschung und Aufarbeitung berichten. 

Der an das Amt der Missbrauchsbeauftragten angedockte Betroffenenrat spricht vom „Beginn staatlicher Verantwortungsübernahme“. Die Unabhängige Aufarbeitungskommission sieht Nachbesserungsbedarf: Das Akteneinsichtsrecht müsse auch für Bereiche wie Schule, Sport und Kirchen gelten. Außerdem sei das neue Gesetz „keine Garantie“ dafür, dass Institutionen ihrer Verantwortung für die Aufarbeitung von Missbrauchsfällen gerecht würden. Die Kommission müsse die Pflicht zur Aufarbeitung durchsetzen können. 

#Bundestag #Gewalt #Schutz #Gesetz #Nachrichten #tagesschau",1408,110475,"Bundestag","Gewalt","Schutz","Gesetz","Nachrichten","tagesschau","","","","","","","tagesschau",2025-02-01 19:33:08,"Sidecar",5
"Die Bewohner:innen der Shetlandinseln feiern am letzten Dienstag im Januar traditionell ihr nordisches Erbe. Tausende Menschen kommen in der Gemeinde Lerwick zusammen: für „Up Helly Aa“. Dabei ist der Brauch, der mit dem Abbrennen eines Wikingerschiffs endet, offenbar noch gar nicht so alt: Seine Anfänge liegen wahrscheinlich im 19. Jahrhundert.

#Shetland #UK #Wikinger #tagesschau",109,22990,"Shetland","UK","Wikinger","tagesschau","","","","","","","","","tagesschau",2025-02-01 20:17:18,"Video",5
"Khaby Lame ist der wohl weltweit beliebteste TikTok-Influencer – und nun auch für UNICEF „Goodwill Ambassador“ (deutsch: Botschafter des guten Willens). 

Der 24-Jährige, der mehr als 162 Millionen Follower hat, wurde mit seinen Videos berühmt, in denen er seine Reaktionen auf das alltägliche Leben zeigt – ohne ein Wort zu sagen. Seine Fangemeinde wuchs während der Pandemie, als er von seinem Fabrikjob entlassen wurde und die zusätzliche Zeit nutzte, um mehr Videos zu drehen und hochzuladen. 

„Es ist eine große Ehre, zum UNICEF-Botschafter ernannt zu werden und Teil einer Organisation zu sein, die die Rechte der Kinder jeden Tag in den Mittelpunkt stellt“, teilte Lame mit. 

Lame zog als Kleinkind mit seinen Arbeitereltern aus dem Senegal nach Italien, erhielt aber erst mit 20 Jahren die italienische Staatsbürgerschaft. Seine Ernennung zum UNICEF-Beauftragten erfolgte am Ende eines viertägigen Besuchs im Senegal, bei dem er Kinder und junge Menschen traf, die in ihren Gemeinden positive Veränderungen bewirken. 

An die Jugend seines Geburtslandes gerichtet sagte er: „Versucht, euer Bestes zu geben, um eure Träume zu verwirklichen, auch wenn es Leute gibt, die euch sagen, dass ihr sie nicht erreichen könnt.“ 

#khabylame #unicef #nachrichten #tagesschau",661,289445,"khabylame","unicef","nachrichten","tagesschau","","","","","","","","","tagesschau",2025-02-01 15:52:53,"Sidecar",5
"Im Pariser Museum Louvre gibt es zum ersten Mal eine Fashion-Ausstellung. Auf 9.000 Quadratmetern stehen zwischen historischen Kunstwerken Kleider und Accessoires von über 45 Modehäusern und Designer:innen, unter anderem Karl Lagerfeld, Balenciaga und Dior. 

#fashion #louvre #paris #nachrichten #tagesschau",30,11889,"fashion","louvre","paris","nachrichten","tagesschau","","","","","","","","tagesschau",2025-02-01 13:01:17,"Video",5
"Der Tod des früheren Bundespräsidenten Horst Köhler hat in der Politik Bestürzung und Trauer ausgelöst. „Wir werden ihn als einen Glücksfall für unser Land in Erinnerung behalten“, schrieb Bundespräsident Frank-Walter Steinmeier im Kondolenzschreiben an die Witwe Eva Luise Köhler. Das ehemalige Staatsoberhaupt ist im Alter von 81 Jahren nach kurzer schwerer Krankheit gestorben. 

Mit Köhler übernahm erstmals kein Parteipolitiker das höchste Amt im Staat. Der studierte Wirtschaftswissenschaftler hatte 1976 eine Beamtenlaufbahn im Bundeswirtschaftsministerium begonnen und wurde 1990 nach verschiedenen anderen Stationen Staatssekretär im damals von Theo Waigel (CSU) geführten Bundesfinanzministerium. 1993 wechselte er in die Finanzwelt, 2000 wurde er Chef des Internationalen Währungsfonds (IWF). 2004 wurde Köhler als Nachfolger von Johannes Rau neunter Bundespräsident. 2009 wählte ihn die Bundesversammlung erneut. Sein Rücktritt mit sofortiger Wirkung nur ein Jahr später war einmalig in der Geschichte der Bundesrepublik. 

Innenpolitisch sorgte Köhler immer wieder für Überraschungen – und für Unmut im Regierungslager. So weigerte er sich 2006, erst das Gesetz zur Privatisierung der Luftraumüberwachung und später das Verbraucherschutzgesetz zu unterzeichnen. Auf internationaler Ebene befasste sich Köhler vor allem mit Afrika, schon als IWF-Chef und noch mehr anschließend als Bundespräsident. Beharrlich warb er für eine gleichberechtigte Partnerschaft mit dem Nachbarkontinent. 

#köhler #bundespräsident #tagesschau #nachrichten",327,79909,"köhler","bundespräsident","tagesschau","nachrichten","","","","","","","","","tagesschau",2025-02-01 17:51:59,"Sidecar",5
"Kanada, Mexiko und China und haben Maßnahmen gegen die von US-Präsident Trump verhängten weitreichenden Zölle auf die Waren der drei Länder angekündigt. Kanada reagierte sogleich mit Gegenzöllen. Ab Dienstag sollen Zölle in Höhe von 25 Prozent auf US-Waren eingeführt werden, kündigte Ministerpräsident Trudeau am Abend bei einer Pressekonferenz an. 

Die von Kanada geplanten Zölle seien für US-Waren im Gesamtwert von 155 Milliarden Dollar vorgesehen. Daneben erwäge die kanadische Regierung Maßnahmen in anderen Bereichen, etwa im Handel mit kritischen Mineralien. 

Mexikos Präsidentin Sheinbaum teilte auf X mit, sie habe Wirtschaftsminister Ebrard angewiesen, einen Plan umzusetzen, der Gegenzölle in Betracht ziehe. Auch China kündigte „entsprechende Gegenmaßnahmen“ an. Zudem werde man eine Klage bei der Welthandelsorganisation (WTO) einreichen, um die Rechte und Interessen Chinas zu schützen, teilte ein Sprecher des chinesischen Handelsministeriums mit. China kritisierte die US-Strafzölle aufs Schärfste. Ob es sich bei den angekündigten Gegenmaßnahmen um Gegenzölle handelt, ließ das Handelsministerium offen. 

#usa #mexiko #kanada #china #zölle #tagesschau #nachrichten",741,71388,"usa","mexiko","kanada","china","zölle","tagesschau","nachrichten","","","","","","tagesschau",2025-02-02 08:01:53,"Sidecar",5
"Nach dem Angriff auf die Großstadt Goma rücken die Rebellen in der Demokratischen Republik Kongo den Vereinten Nationen zufolge auf eine weitere Provinzhauptstadt vor. Der für Friedenseinsätze zuständige UN-Vertreter Jean-Pierre Lacroix sagte in New York, die Aufständischen der von Ruanda unterstützten Gruppe „M23“ seien „etwa 60 Kilometer nördlich von Bukavu und scheinen sich ziemlich schnell zu bewegen.“ In Bukavu, der Hauptstadt der Provinz Süd-Kivu, leben mehrere Hunderttausend Menschen. 

Die „M23“-Rebellen hatten vor wenigen Tagen Goma angegriffen, die Provinzhauptstadt von Nord-Kivu. Der politische Führer der Rebellen kündigte zuletzt einen Marsch auf die Hauptstadt Kinshasa im Westen des Landes an, um die Regierung von Präsident Félix Tshisekedi zu stürzen. Allerdings ist Kinshasa etwa 1.500 Kilometer Luftlinie vom östlichen Teil des Landes entfernt. 

Bei den jüngsten Kämpfen in dem Konflikt sind zwischen dem 26. und 30. Januar Schätzungen zufolge mindestens 700 Menschen getötet worden, wie die Vereinten Nationen am Freitag mitteilten. Zudem wurden demzufolge 2.800 Personen verletzt. Die UN gehen davon aus, dass die Zahlen weiter steigen werden, sobald mehr Informationen verfügbar sind. 

Die „M23“ ist eine Miliz ethnischer Tutsi – der Volksgruppe, die vor fast 31 Jahren die Opfer des Genozids in Ruanda waren. Ruandas Präsident Paul Kagame, selbst ein Tutsi, sieht das Engagement Ruandas als Schutz der Tutsi auch im Kongo und macht Sicherheitsinteressen seines Landes geltend. 

Denn nach dem Völkermord, den Kagame damals mit dem Einmarsch seiner Exilarmee beendete, flohen die für die Massenmorde verantwortlichen Hutu-Milizen über die nahe Grenze nach Goma. Zudem befeuert der Wunsch nach der Kontrolle der wertvollen Rohstoffe in dem Gebiet den Konflikt. Fachleute gehen von einer erheblichen Menge Gold und Coltan aus, die aus dem Konfliktgebiet nach Ruanda geschmuggelt und von dort aus exportiert werden. 

#Kongo #Ruanda #Goma #M23 #Afrika #tagesschau",269,30226,"Kongo","Ruanda","Goma","M23","Afrika","tagesschau","","","","","","","tagesschau",2025-02-01 15:17:02,"Sidecar",5
"Dutzende kranke und verletzte palästinensische Kinder sind über den Grenzübergang Rafah vom Gazastreifen nach Ägypten gebracht worden. Es ist der einzige nach Ägypten. Der Übergang war fast neun Monaten lang gesperrt. Ägypten hatte seine Seite geschlossen, nachdem das israelische Militär bei einer Offensive die Kontrolle auf palästinensischer Seite übernommen hatte.

Fernsehaufnahmen zeigten, wie ein Krankenwagen des palästinensischen Rettungsdienstes Roter Halbmond zur Schranke vorfuhr und mehrere Kinder zu Krankenwagen auf der ägyptischen Seite gebracht wurden. Nach Angaben des von der Terrororganisation Hamas kontrollierten Gesundheitsministeriums im Gazastreifen wurden die Kinder von Angehörigen begleitet. Von nun an sollen regelmäßig verletzte Palästinenser:innen für Behandlungen ins Ausland reisen dürfen. 

Am 19. Januar war ein Abkommen zur Waffenruhe zwischen Israel und der militant-islamistischen Hamas in Kraft getreten. Der Deal sieht unter anderem die Freilassung von im Gazastreifen festgehaltenen Geiseln der Hamas im Gegenzug für die Entlassung palästinensischer Gefangener aus israelischer Haft vor.

#nahost #nachrichten #tagesschau",914,35994,"nahost","nachrichten","tagesschau","","","","","","","","","","tagesschau",2025-02-01 14:00:14,"Sidecar",5
"Käse ohne Kuh, der schmeckt wie das Original? Das ist das Ziel eines Londoner Start-Ups. 

#käse #labor #dairy #nachrichten #tagesschau",1141,44572,"käse","labor","dairy","nachrichten","tagesschau","","","","","","","","tagesschau",2025-02-02 06:00:54,"Video",5
"Wochenlang haben in Südkalifornien zerstörerische Feuer gewütet. Nun ist der Großbrand in und um Los Angeles (L.A.) im US-Bundesstaat Kalifornien vollständig eingedämmt. Das teilte die Feuerwehr mit. 

Das „Palisades“-Feuer am Westrand von Los Angeles und das „Eaton“-Feuer nahe Pasadena und Altadena haben offiziellen Schätzungen zufolge mehr als 16.200 Gebäude zerstört. Die Zahl der bestätigten Todesfälle liegt bei 29. 

Der Flächenbrand war am 7. Januar ausgebrochenen. Die Feuerwehr war wochenlang im Einsatz, um die Brände einzudämmen, die durch starke Winde immer wieder angefacht wurden. 

#kalifornien #feuer #nachrichten #tagesschau",224,102307,"kalifornien","feuer","nachrichten","tagesschau","","","","","","","","","tagesschau",2025-02-01 11:55:34,"Image",5
"Aus Protest gegen die gemeinsame Abstimmung von Union und AfD im Bundestag sind erneut zahlreiche Menschen in ganz Deutschland auf die Straße gegangen. Allein in Berlin versammelten sich nach rbb-Informationen etwa 160.000 Demonstrierende vor dem Reichstagsgebäude und forderten den Erhalt der „Brandmauer“ gegen die AfD. Die Veranstalter:innen sprachen sogar von bis zu 250.000 Teilnehmenden – erwartet worden waren rund 20.000. 

Die Teilnehmenden zogen am Nachmittag vom Tiergarten zur CDU-Bundeszentrale. In Berlin sprach auch der jüdische Publizist Michel Friedman, der vergangene Woche nach einer gemeinsamen Abstimmung von Union und AfD über einem Antrag mit migrationspolitischen Forderungen im Bundestag seinen Austritt aus der CDU erklärt hatte.

Es gehe ihm nicht um Parteipolitik, sondern um die Bewahrung der Demokratie, sagte Friedman vor den Demonstrierenden. Er rief sie auf, ein gemeinsames Ziel zu verfolgen: „Die Würde des Menschen ist unantastbar.“ Mit Blick auf die AfD sagte er: „Hass, geistige Brandstiftung, ist keine Meinung, sondern Gewalt.“

Neben Berlin zog es auch Menschen in Regensburg, Ulm, Kiel, Potsdam und Braunschweig auf die Straße, während es in Köln eine Bootsdemo auf dem Rhein gab. Insgesamt hätten sich dort auf dem Wasser und an Land etwa 1.000 Menschen beteiligt, sagte eine Sprecherin der Wasserschutzpolizei. In Bonn versammelten sich nach laut Polizei am Sonntag in der Spitze mehr als 10.000 Menschen zu einer „Kundgebung für Demokratie, Menschenrechte und Vielfalt“. Die Versammlung sei friedlich und störungsfrei verlaufen. In Saarbrücken versammelten sich mehr als 15.000 Bürger:innen zu einer Kundgebung.

Bereits am Samstag waren in etlichen Städten Menschen für Vielfalt und für eine Abgrenzung der Union zur AfD auf die Straße gegangen. In Hamburg waren es nach Polizeiangaben rund 65.000 Menschen, in Essen etwa 14.000. Auch in Leipzig, Stuttgart, Braunschweig, Würzburg, Augsburg, Bremen und anderen Städten fanden Demonstrationen statt.

#Demonstration #CDU #AFD #Deutschland #Nachrichten #tagesschau",3751,301484,"Demonstration","CDU","AFD","Deutschland","Nachrichten","tagesschau","","","","","","","tagesschau",2025-02-02 18:04:15,"Sidecar",5
